Year,October: BOB,October: AS,October: LAND,October: TOTAL,November: BOB,November: AS,November: LAND,November: TOTAL,December: BOB,December: AS,December: LAND,December: TOTAL,October- December: BOB,October- December: AS,October- December: LAND,October- December: TOTAL
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,1,0,1,1,0,0,1,1,0,0,1,2,1,0,0
1982,2,0,0,2,0,1,0,1,0,0,0,0,2,1,0,2
1983,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1
1984,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,1
1985,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1
1988,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0
1989,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1990,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0
1993,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
1994,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1
1995,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0
1996,0,1,0,1,2,0,0,2,0,0,0,0,2,1,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,2,0,0,2,0,1,0,1,2,1,0,0
1999,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
2000,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2003,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
2004,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
2011,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
2014,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2
2015,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,2
2016,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
2017,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2018,1,1,0,2,1,0,0,1,1,0,0,1,3,1,0,4
2019,0,2,0,2,1,0,0,1,0,1,0,1,1,3,0,4
2020,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
